gid,code,name,name_en,status,lon,lat
397,551,ขท.เพชรบูรณ์ที่ 1,PHETCHABUN 1 HIGHWAY DISTRICT,TRUE,101.15303,16.429306
435,552,ขท.เพชรบูรณ์ที่ 2 (บึงสามพัน),PHETCHABUN 2 (BUENG SAM PHAN) HIGHWAY DISTRICT,TRUE,101.0051036,15.77300504
323,526,ขท.แม่ฮ่องสอน,MAE HONG SON HIGHWAY DISTRICT,TRUE,97.96151565,19.27267625
326,531,ขท.แพร่,PHRAE HIGHWAY DISTRICT,TRUE,100.161882,21.156432
1563,55403,หมวดทางหลวงภูกระดึง,NULL,TRUE,101.942468,16.847951
2026,63805,หมวดทางหลวงภูสิงห์,NULL,TRUE,104.061806,14.420361
1562,55504,หมวดทางหลวงภูเรือ,NULL,TRUE,101.471713,17.441793
2025,63605,หมวดทางหลวงภูเงิน,NULL,TRUE,104.557146,14.718845
1959,32401,หมวดทางหลวงภูเก็ต,NULL,TRUE,98.395962,7.928412
1337,53504,หมวดทางหลวงจุน,NULL,TRUE,100.1130219,19.34699627
1332,31903,หมวดทางหลวงจะนะ,NULL,TRUE,100.663357,7.028417
1855,62603,หมวดทางหลวงจตุรัส,NULL,TRUE,101.8477348,15.56149107
1330,63502,หมวดทางหลวงจตุรพักตรพิมาน,NULL,TRUE,103.5694545,15.85123159
1331,52104,หมวดทางหลวงจอมทอง,NULL,TRUE,98.522778,21.535586
1574,63901,หมวดทางหลวงมุกดาหาร,NULL,TRUE,104.7187669,16.55721417
1571,62804,หมวดทางหลวงมัญจาคีรี,NULL,TRUE,102.598499,16.280786
1917,41504,หมวดทางหลวงมหาชัย,NULL,TRUE,100.2628473,13.54889246
1566,43207,หมวดทางหลวงมวกเหล็ก,NULL,TRUE,101.201585,14.63609268
2021,63103,หมวดทางหลวงม่วงสามสิบ,NULL,TRUE,104.738416,15.500359
1829,55805,หมวดทางหลวงม่วงเจ็ดต้น,NULL,TRUE,101.0383496,21.11171562
1846,62101,หมวดทางหลวงศิลา,NULL,TRUE,102.8930188,16.43314669
1640,61805,หมวดทางหลวงศรีมหาโพธิ์,NULL,TRUE,101.575495,13.907661
1638,44104,หมวดทางหลวงศรีประจันต์,NULL,TRUE,100.1116008,14.67616673
1641,63601,หมวดทางหลวงศรีรัตนะ,NULL,TRUE,104.481589,14.778869
1783,52404,หมวดทางหลวงศรีวิชัย,NULL,TRUE,98.88179684,21.04167156
1642,64303,หมวดทางหลวงศรีวิไล,NULL,TRUE,151.241795,21.185956
1644,44408,หมวดทางหลวงศรีสวัสดิ์,NULL,TRUE,99.13527205,14.42290158
1645,63801,หมวดทางหลวงศรีสะเกษ,NULL,TRUE,104.250333,15.024925
1643,64404,หมวดทางหลวงศรีสงคราม,NULL,TRUE,104.271958,17.622995
1680,51301,หมวดทางหลวงศรีสำโรง,NULL,TRUE,99.8640613,17.16718575
1637,31402,หมวดทางหลวงศรีนครินทร์,NULL,TRUE,99.886857,7.574203
1924,41702,หมวดทางหลวงศรีนครินทร์,NULL,TRUE,100.644899,13.662715
1635,55204,หมวดทางหลวงศรีเทพ,NULL,TRUE,101.072583,15.424002
1681,61504,หมวดทางหลวงศีขรภูมิ,,TRUE,103.8332805,14.94395509
1922,41605,หมวดทางหลวงธัญบุรี,NULL,TRUE,100.705364,14.007924
1873,61406,หมวดทางหลวงธงชัยเหนือ,NULL,TRUE,102.0417957,14.77913895
1421,31204,หมวดทางหลวงธารโต,NULL,TRUE,101.18779,6.15973
1314,63804,หมวดทางหลวงขุขันธ์,NULL,TRUE,104.203513,14.67016
1315,52603,หมวดทางหลวงขุนยวม,NULL,TRUE,97.93178081,21.8058563
1186,42505,หมวดทางหลวงขลุง,NULL,TRUE,102.355056,12.39540191
1801,64101,หมวดทางหลวงดงมะไฟ,NULL,TRUE,103.989775,17.276999
1358,63904,หมวดทางหลวงดงหลวง,NULL,TRUE,104.530844,16.803188
1365,52204,หมวดทางหลวงดอยสะเก็ด,NULL,TRUE,99.18057541,21.89607719
1364,52107,หมวดทางหลวงดอยเต่า,NULL,TRUE,131.2623043,17.95755923
1359,53503,หมวดทางหลวงดอกคำใต้,NULL,TRUE,99.99448378,19.16449063
1362,63902,หมวดทางหลวงดอนตาล,NULL,TRUE,104.922981,16.31076706
1363,32802,หมวดทางหลวงดอนสัก,NULL,TRUE,99.69607,9.317426
1360,44103,หมวดทางหลวงดอนเจดีย์,NULL,TRUE,100.007197,14.62053152
1361,41101,หมวดทางหลวงดอนเมือง,NULL,TRUE,100.5889833,13.89521666
1908,44404,หมวดทางหลวงด่านมะขามเตี้ย,NULL,TRUE,99.46496406,13.88177533
1867,61203,หมวดทางหลวงด่านขุนทด,NULL,TRUE,101.834109,15.414519
1843,55502,หมวดทางหลวงด่านซ้าย,NULL,TRUE,101.1361642,17.28410153
1943,42502,หมวดทางหลวงด่านชุมพล,NULL,TRUE,102.6254741,12.44369565
1368,44106,หมวดทางหลวงด่านช้าง,NULL,TRUE,99.70271326,14.84147814
1328,32704,หมวดทางหลวงคุระบุรี,NULL,TRUE,98.398914,9.198293
1816,51704,หมวดทางหลวงคณฑี,NULL,TRUE,99.66068302,16.34933783
1316,61405,หมวดทางหลวงครบุรี,NULL,TRUE,102.414995,14.41785827
1317,51705,หมวดทางหลวงคลองขลุง,NULL,TRUE,99.68459802,16.26543026
1818,51709,หมวดทางหลวงคลองลานพัฒนา,NULL,TRUE,99.29087211,16.04569463
2005,26101,หมวดทางหลวงคลองหลวง,NULL,TRUE,100.70375,14.008352
1957,32302,หมวดทางหลวงคลองท่อม,NULL,TRUE,99.13936785,7.97271671
2006,26102,หมวดทางหลวงคันนายาว,NULL,TRUE,100.682423,13.790872
1323,31404,หมวดทางหลวงควนขนุน,NULL,TRUE,99.97182853,7.765181619
1970,31804,หมวดทางหลวงควนรู,NULL,TRUE,100.28935,7.146108
1322,31801,หมวดทางหลวงควนโดน,NULL,TRUE,100.088248,6.797827
1326,51304,หมวดทางหลวงคีรีมาศ,NULL,TRUE,99.76214528,16.84479109
1327,32504,หมวดทางหลวงคีรีรัฐนิคม,NULL,TRUE,99.00568,8.953317
1813,51404,หมวดทางหลวงคีรีราษฎร์,NULL,TRUE,99.00586837,16.40778307
2027,64102,หมวดทางหลวงคำหอม,NULL,TRUE,104.018438,17.121682
1325,63302,หมวดทางหลวงคำเขื่อนแก้ว,NULL,TRUE,104.330776,15.641838
1962,31104,หมวดทางหลวงคอหงส์,NULL,TRUE,100.481193,6.980034
1324,43303,หมวดทางหลวงค่ายบางระจัน,NULL,TRUE,100.2979536,14.79113804
1504,61803,หมวดทางหลวงประจันตคาม,NULL,TRUE,101.52189,14.068426
1503,33303,หมวดทางหลวงประจวบคีรีขันธ์,NULL,TRUE,99.797122,11.806694
1502,61706,หมวดทางหลวงประโคนชัย,NULL,TRUE,102.968937,14.606882
1877,61801,หมวดทางหลวงปราจีนบุรี,NULL,TRUE,101.3712137,14.11555961
1507,33302,หมวดทางหลวงปราณบุรี,NULL,TRUE,99.915244,12.391566
1508,61502,หมวดทางหลวงปราสาท,NULL,TRUE,151.2098006,14.63027705
1509,42604,หมวดทางหลวงปลวกแดง,NULL,TRUE,101.272144,12.988166
1804,64405,หมวดทางหลวงปลาปาก,NULL,TRUE,104.612955,17.115498
1221,53901,หมวดทางหลวงปัว,NULL,TRUE,100.9478445,19.13749585
1512,33204,หมวดทางหลวงปะทิว,NULL,TRUE,99.287795,10.926373
1513,31304,หมวดทางหลวงปะนาเระ,NULL,TRUE,101.48574,6.83897
1796,53505,หมวดทางหลวงปง,NULL,TRUE,100.2719565,19.1938851
1529,52605,หมวดทางหลวงปาย,NULL,TRUE,98.43117915,19.37055384
1526,52606,หมวดทางหลวงปางมะผ้า,NULL,TRUE,97.95703401,17.92784359
1845,55505,หมวดทางหลวงปากภู,NULL,TRUE,101.724817,17.557469
1817,51707,หมวดทางหลวงปากคลองลาน,NULL,TRUE,99.37688996,16.06683781
1949,33703,หมวดทางหลวงปากท่อ,NULL,TRUE,99.79918,13.455349
1519,55404,หมวดทางหลวงปากชม,NULL,TRUE,101.865136,21.028476
1836,55107,หมวดทางหลวงปากช่อง,NULL,TRUE,101.433433,16.735966
1520,61205,หมวดทางหลวงปากช่องที่ 1,NULL,TRUE,101.521421,14.77431
1868,61206,หมวดทางหลวงปากช่องที่2,NULL,TRUE,101.4111212,14.63571306
1525,41403,หมวดทางหลวงปากพลี,NULL,TRUE,101.050969,14.278846
1905,44401,หมวดทางหลวงปากแพรก,NULL,TRUE,99.56921706,14.00491924
1501,41603,หมวดทางหลวงปทุมธานี,NULL,TRUE,100.618141,14.125511
1967,31405,หมวดทางหลวงป่าบอน,NULL,TRUE,100.155229,7.284913
1518,44802,หมวดทางหลวงป่าโมก,NULL,TRUE,100.4517894,14.48667813
1517,53702,หมวดทางหลวงป่าแดด,NULL,TRUE,99.96098906,19.56495227
1969,31206,หมวดทางหลวงยะรม,NULL,TRUE,101.161528,5.787309
1576,31302,หมวดทางหลวงยะรัง,NULL,TRUE,101.29423,6.75803
1577,31201,หมวดทางหลวงยะลา,NULL,TRUE,101.1977712,6.52715855
1579,31203,หมวดทางหลวงยะหา,NULL,TRUE,101.052603,6.484904
1773,31701,หมวดทางหลวงยี่งอ,NULL,TRUE,101.650903,6.52245
1580,64705,หมวดทางหลวงยางตลาด,NULL,TRUE,151.215513,16.411434
1581,32202,หมวดทางหลวงย่านตาขาว,NULL,TRUE,99.640538,7.411205
1575,63301,หมวดทางหลวงยโสธร,NULL,TRUE,104.1380671,15.80204989
1594,32206,หมวดทางหลวงรัษฎา,NULL,TRUE,99.63787,7.99679
1921,41602,หมวดทางหลวงรังสิต,NULL,TRUE,100.5968069,13.87412643
1591,64605,หมวดทางหลวงรัตนวาปี,NULL,TRUE,103.222197,21.270835
1833,55104,หมวดทางหลวงระวิง,NULL,TRUE,101.15639,16.14066
2041,33101,หมวดทางหลวงระนอง,NULL,TRUE,131.256599,10.028292
1586,31702,หมวดทางหลวงระแงะ,NULL,TRUE,101.74788,6.31806
1598,31704,หมวดทางหลวงรือเสาะ,NULL,TRUE,101.52402,6.40075
1596,31202,หมวดทางหลวงรามัน,NULL,TRUE,101.39132,6.46914
1912,41104,หมวดทางหลวงรามอินทรา,NULL,TRUE,100.64715,13.769116
1597,63803,หมวดทางหลวงราษีไศล,NULL,TRUE,104.125922,15.367003
1595,33504,หมวดทางหลวงราชบุรี,NULL,TRUE,99.791452,13.52509
1960,32402,หมวดทางหลวงราไวย์,NULL,TRUE,98.334769,7.799141
1913,41105,หมวดทางหลวงร่มเกล้า,NULL,TRUE,100.7458833,13.75705
1583,64706,หมวดทางหลวงร่องคำ,NULL,TRUE,151.24327,16.266618
1584,32602,หมวดทางหลวงร่อนพิบูลย์,NULL,TRUE,99.856044,8.180345
1585,63501,หมวดทางหลวงร้อยเอ็ด,NULL,TRUE,103.6593527,16.05372442
1582,53103,หมวดทางหลวงร้องกวาง,NULL,TRUE,100.3122157,21.33087494
1604,55701,หมวดทางหลวงลับแล,NULL,TRUE,100.0423598,17.61151772
1857,62608,หมวดทางหลวงละหาน,NULL,TRUE,101.9595435,15.67134733
1784,52405,หมวดทางหลวงลี้,NULL,TRUE,99.00114857,17.76220657
1618,63402,หมวดทางหลวงลืออำนาจ,NULL,TRUE,,
1605,41604,หมวดทางหลวงลาดหลุมแก้ว,NULL,TRUE,100.564839,13.972505
1906,44402,หมวดทางหลวงลาดหญ้า,NULL,TRUE,99.41861495,14.10115161
2007,26103,หมวดทางหลวงลาดกระบัง,NULL,TRUE,100.820327,13.708617
1606,51103,หมวดทางหลวงลานกระบือ,NULL,TRUE,99.98892873,16.50010596
1608,44704,หมวดทางหลวงลานสัก,NULL,TRUE,99.53447568,15.4679514
1607,32101,หมวดทางหลวงลานสกา,NULL,TRUE,99.840487,8.406819
1610,61704,หมวดทางหลวงลำปลายมาศ,NULL,TRUE,,
2012,41107,หมวดทางหลวงลำลูกกา,NULL,TRUE,100.596799,13.875664
1887,43501,หมวดทางหลวงลำนารายณ์,NULL,TRUE,101.13169,15.20904
1897,43802,หมวดทางหลวงลำพยนต์,NULL,TRUE,100.5826142,15.31091913
1890,43504,หมวดทางหลวงลำพญาไม้,NULL,TRUE,101.2716041,15.09259622
2043,52402,หมวดทางหลวงลำพูน,NULL,TRUE,98.96773096,21.44623825
1603,53104,หมวดทางหลวงลอง,NULL,TRUE,99.85733152,21.09794246
1884,43101,หมวดทางหลวงลพบุรี,NULL,TRUE,100.656145,14.79874582
1900,43204,หมวดทางหลวงหินกอง,NULL,TRUE,100.8910969,14.40515361
1872,61401,หมวดทางหลวงหลุมเงิน,NULL,TRUE,101.9937056,14.5849588
